,state,district,latitude,longitude,population,male,female,literate,literate males,literate females,Scheduled Caste,Scheduled Castes - Males,Scheduled Castes - Females,Scheduled Tribes,Scheduled Tribes - Males,Scheduled Tribes - Females,Workers,Male workers,Female workers,Main workers,Marginal workers,Non-workers,Cultivator workers,Agricultural workers,Household workers,Other workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other religions,Religion not stated,Households with LPG or PNG,Households with electric lightning,Households with internet,Households with computer,Rural households,Urban households,households,Below primary education,Higher graduation,Graduate education,Individuals in age group 0-29 years,Individuals in age group 30-49 years,Individuals in age group above 50 years,Households with bicycle,Households with car/jeep/van,Households with radio transistor,Households with scooter motorcycle moped,Households with landline only,Households with mobile only,"households with tv,computer,laptop,telephone,mobile phone,scooter and car",Households with television,Households with mobile phone,Households with telephone and mobile phone both,Occupied houses - Dilapidated,Households with kitchen inside house,Households with bathing facility,Owned households,Rented households,Households using uncovered well water for drinking,Households using handpump/tubewell/borewell for drinking water,Households using spring water for drinking,Households using river/canal water for drinking,Households with drinking water from spring/river/canal/tank/pond/lake/other sources,Househlds with drinking water near house,Households with drinking water source within premises,Households using pond/lake water for drinking,Households using tapwater for drinking,Households with tubewell/borehole for drinking water,Household size: 1 person,Household size: 2 persons,Household size: 1-2 persons,Household size: 3 persons,Household size: 3-5 persons,Household size: 4 persons,Household size: 5 persons,Household size: 6-8 persons,Household size: 9+ persons,Households with drinking water away from house,sex ratio,Literacy rate
148,Haryana,Mahendragarh,28.1352161458333,76.14018072916659,922088,486665,435423,630255,380440,249815,156314,82420,73894,0,0,0,338584,232935,105649,212402,126182,583504,149146,38320,7639,143479,913251,5660,301,1737,75,644,15,405,45359,135455,2624,13908,223726,44216,267942,94273,94245,60296,530000,229392,161258,54810,8538,25809,45775,5274,119066,5827,88012,133653,9313,5132,152743,113329,162961,3691,4493,40151,51,60,12890,55460,80378,5698,108389,37955,2971,8947,11918,17146,91491,39036,35309,49530,15586,32687,0.8947078585885568,68.35085154562255
149,Haryana,Panchkula,30.700897142857134,76.97173238095236,561293,299679,261614,405318,229862,175456,101830,53868,47962,0,0,0,211479,164865,46614,182831,28648,349814,26682,12827,9870,162100,490702,23451,2583,40951,1008,1626,90,882,69687,103455,18615,32174,70895,93656,164551,45607,48306,83256,309078,157076,93606,42737,29497,27618,49972,7872,60941,27786,88378,92486,23673,5245,103319,94560,78722,24115,558,5218,477,318,2119,22286,82195,444,99720,3329,4053,9104,13157,14305,65612,28779,22528,25585,5882,5755,0.8729807560756676,72.2114831291322
150,Haryana,Panipat,29.34352134146342,76.92895914634147,1205437,646857,558580,786599,464136,322463,206213,109695,96518,0,0,0,412318,328667,83651,339016,73302,793119,72120,62358,15824,262016,1083936,86622,2261,25064,289,4647,99,2519,121846,209965,10024,26719,173502,153804,327306,118873,91756,75774,739075,298764,167244,90548,17466,26625,74923,8489,150926,17705,162321,172677,13262,7820,201026,191098,182191,32473,712,69876,33,208,3380,53544,148894,467,145881,41486,4783,13209,17992,23156,123573,50265,50152,65067,13756,17950,0.86352934265224,65.25426048810515
151,Haryana,Rewari,28.19164714828897,76.55956007604564,900332,474335,425997,636947,375453,261494,182606,95571,87035,0,0,0,337727,235326,102401,250219,87508,562605,102698,28215,9782,197032,889133,5713,701,1804,202,1525,12,1242,62667,152651,5121,18092,199449,69305,268754,81280,95807,65143,518747,230704,150557,71366,12161,28534,58897,8629,113600,10676,108753,137152,14923,5173,159721,134804,156650,9969,2055,37962,34,147,5393,35782,114709,1773,122608,24732,3879,10224,14103,18914,97233,42148,36171,45917,11875,18637,0.8980931198414622,70.74579155244955
152,Haryana,Rohtak,28.892517647058817,76.53123235294117,1061204,568479,492725,747582,436025,311557,216889,115573,101316,0,0,0,345967,272646,73321,288949,57018,715237,95732,36568,8521,205146,1043887,8185,732,3916,200,3491,24,769,94633,193120,8482,27225,175203,131739,306942,117097,109596,100346,605741,269354,185685,91682,16545,39834,63575,9432,137267,17402,150160,160621,13922,7826,190149,174390,185204,15541,8169,35577,34,1086,3991,37780,136781,440,154010,10545,4261,11498,15759,21602,118044,50316,46126,55628,13502,28372,0.8667426589196786,70.44658708410448
153,Haryana,Sirsa,29.63583446327684,74.90970480225988,1295189,682582,612607,782897,456968,325929,387381,202430,184951,0,0,0,502003,369462,132541,399169,102834,793186,164297,147042,11952,178712,940255,9524,2186,338962,370,2256,624,1012,70538,215527,6287,22706,245476,93316,338792,141766,83373,61620,750228,334344,208185,117760,24468,45101,75692,7898,165463,13695,150315,190983,17622,13027,215779,216307,219428,12951,178,26345,61,3363,7298,33381,196564,1906,204475,19947,4202,13126,17328,23790,135060,57070,54200,70339,17490,10272,0.8974848443117457,60.446544867196984
154,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,519080,261320,257760,323842,186064,137778,111690,56154,55536,135500,67900,67600,294035,158791,135244,119632,174403,225045,196665,9193,4521,83656,479782,32455,1559,2745,1740,57,14,728,21458,96082,1615,5117,186395,13836,200231,56272,40440,15506,306555,130606,81566,1657,5074,25935,8880,2362,64850,2391,62233,73995,6783,2207,92819,46292,94367,6546,131,1031,1834,371,4108,55088,36220,154,96451,9,5229,6765,11994,10046,52526,20811,21669,31977,5475,10664,0.9863768559620388,62.3876859058334
155,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,454768,217070,237698,358091,180555,177536,109256,53727,55529,3044,1531,1513,241931,118724,123207,126153,115778,212837,147103,8824,3347,82657,449412,3711,243,591,95,293,9,414,34978,104120,2521,7525,196116,15232,211348,37327,64363,35620,224044,123941,106641,7094,6665,23628,16955,16840,53918,3438,86324,90286,19528,1011,94440,86909,99538,4452,1443,5691,91,22,606,29624,69696,140,94807,208,6218,11549,17767,16803,64353,27573,19977,19251,3697,5748,1.0950292532362833,78.74146817718045
156,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1104285,593537,510748,653299,408125,245174,241198,130269,110929,474,259,215,443655,308527,135128,290375,153280,660630,130314,181449,19876,112016,1010014,91269,814,196,74,41,273,1604,20175,55929,1196,11037,256081,55300,311381,159593,59914,59612,660774,260368,181109,99240,3791,54513,24522,4934,130019,1757,48564,137792,2839,3213,201284,120259,202503,4809,9366,158137,99,255,987,120508,47183,90,40314,588,7811,17299,25110,17595,88512,31830,39087,73892,22044,41867,0.8605158566357278,59.16036168199332
157,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,454768,217070,237698,358091,180555,177536,109256,53727,55529,3044,1531,1513,241931,118724,123207,126153,115778,212837,147103,8824,3347,82657,449412,3711,243,591,95,293,9,414,34978,104120,2521,7525,196116,15232,211348,37327,64363,35620,224044,123941,106641,7094,6665,23628,16955,16840,53918,3438,86324,90286,19528,1011,94440,86909,99538,4452,1443,5691,91,22,606,29624,69696,140,94807,208,6218,11549,17767,16803,64353,27573,19977,19251,3697,5748,1.0950292532362833,78.74146817718045
