,state,district,latitude,longitude,population,male,female,literate,literate males,literate females,Scheduled Caste,Scheduled Castes - Males,Scheduled Castes - Females,Scheduled Tribes,Scheduled Tribes - Males,Scheduled Tribes - Females,Workers,Male workers,Female workers,Main workers,Marginal workers,Non-workers,Cultivator workers,Agricultural workers,Household workers,Other workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other religions,Religion not stated,Households with LPG or PNG,Households with electric lightning,Households with internet,Households with computer,Rural households,Urban households,households,Below primary education,Higher graduation,Graduate education,Individuals in age group 0-29 years,Individuals in age group 30-49 years,Individuals in age group above 50 years,Households with bicycle,Households with car/jeep/van,Households with radio transistor,Households with scooter motorcycle moped,Households with landline only,Households with mobile only,"households with tv,computer,laptop,telephone,mobile phone,scooter and car",Households with television,Households with mobile phone,Households with telephone and mobile phone both,Occupied houses - Dilapidated,Households with kitchen inside house,Households with bathing facility,Owned households,Rented households,Households using uncovered well water for drinking,Households using handpump/tubewell/borewell for drinking water,Households using spring water for drinking,Households using river/canal water for drinking,Households with drinking water from spring/river/canal/tank/pond/lake/other sources,Househlds with drinking water near house,Households with drinking water source within premises,Households using pond/lake water for drinking,Households using tapwater for drinking,Households with tubewell/borehole for drinking water,Household size: 1 person,Household size: 2 persons,Household size: 1-2 persons,Household size: 3 persons,Household size: 3-5 persons,Household size: 4 persons,Household size: 5 persons,Household size: 6-8 persons,Household size: 9+ persons,Households with drinking water away from house,sex ratio,Literacy rate
273,Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,1458875,769568,689307,862918,512344,350574,292144,154504,137640,67603,34993,32610,550402,401583,148819,397283,153119,908473,168615,228308,12408,141071,1287391,149548,1313,914,295,18490,70,854,41617,181510,1926,12888,292579,83830,376409,242021,65581,59814,919239,335690,203005,70884,5682,31152,55126,4770,139131,4922,96565,150643,6742,8340,290809,190365,275519,15915,37354,208963,182,771,1913,148150,80188,216,47389,12846,12975,32112,45087,34981,149467,54230,60256,89879,12986,69081,0.8957064223044617,59.1495501670808
274,Maharashtra,Akola,20.746310479041902,77.12122320359276,1813906,932334,881572,1411281,758977,652304,364059,186244,177815,100280,51359,48921,768154,520362,247792,691025,77129,1045752,129680,388521,9660,240293,1107809,357253,4483,1504,328033,10205,389,4230,107463,314490,6163,24232,308158,196077,504235,231841,205723,112574,998769,483200,327932,126856,9037,51950,72460,14360,164233,11896,176674,195210,16617,23055,356809,342367,339748,37265,27953,121230,297,1494,5303,128538,190594,588,229535,36379,13577,40804,54381,52202,234221,97428,84591,86078,16455,72003,0.945553846582877,77.80342531531403
275,Maharashtra,Amravati,21.16520991810736,77.67583503184723,2888445,1480768,1407677,2251875,1207104,1044771,506374,259398,246976,404128,205834,198294,1236322,837577,398745,1061544,174778,1652123,198793,667943,20998,348588,2055177,421410,7223,2242,383891,11360,3288,3854,175917,512492,9438,36185,508921,272894,781815,326195,346876,203273,1540590,783549,553265,211384,15285,54714,124261,28565,235775,18992,302188,295756,31416,34409,605336,553087,569476,42996,43570,78586,363,517,5731,200903,354238,612,496146,11118,23825,68468,92293,90409,398987,172071,136507,124902,21264,82305,0.950639803129187,77.96149831483721
276,Maharashtra,Bhandara,21.211792649727748,80.10950199637024,1200334,605520,594814,899860,488709,411151,200372,100421,99951,88886,44515,44371,597305,345054,252251,413838,183467,603029,123099,312183,17169,144854,1009352,26502,2145,831,154458,1017,3555,2474,55948,227025,2932,13165,283843,72575,356418,115150,153749,67061,626978,333120,232754,182892,5184,20500,54974,10685,110171,5536,117299,131424,10568,19822,259055,207488,243836,26370,53482,98701,100,333,1543,109232,110541,153,104699,17788,11857,27093,38950,38939,180328,79510,61879,50895,5600,56000,0.9823193288413264,74.9674673882436
277,Maharashtra,Bid,18.952353340080982,75.69319706477731,2585049,1349106,1235943,1718507,987185,731322,351254,179777,171477,32722,16806,15916,1255548,727819,527729,1154708,100840,1329501,606280,373566,21093,254609,2174672,320395,2097,824,68482,8719,399,9461,82098,402052,5614,29198,563114,135457,698571,309704,206530,129996,1473882,614615,494436,119991,12836,54715,91909,17352,306141,8484,205352,346380,22887,38598,330203,374363,492304,39323,104531,188216,698,3311,14159,212361,209824,2818,230929,65540,16817,54460,71277,57981,296136,118905,119250,151010,26650,122888,0.9161200083610924,66.4787011774245
278,Maharashtra,Buldana,20.56680611183355,76.39017880364096,2586258,1337560,1248698,1879874,1048892,830982,470895,241445,229450,124837,64153,60684,1219641,734024,485617,1107542,112099,1366617,385447,603227,13770,217197,1845424,354236,3531,1668,364229,12242,522,4406,103898,423036,4767,24877,575405,152787,728192,315408,228266,113783,1467457,641840,473071,121784,10034,43579,84546,16240,257109,8993,225282,293299,19950,33751,481806,451231,496630,31267,113493,110480,790,1216,9623,178190,247668,1431,299430,21939,21975,58072,80047,70149,321880,134349,117382,127921,23183,127173,0.9335641017973025,72.68702503771858
279,Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,2204307,1123834,1080473,1578615,872565,706050,348365,176898,171467,389441,196753,192688,1058172,648565,409607,804433,253739,1146135,220978,473983,21346,341865,1780085,92297,10701,5251,286734,3861,23188,2190,172661,418666,8239,31419,451324,233331,684655,243773,241179,126488,1163802,629890,403719,248585,12746,39608,113039,17042,212167,16949,229635,250418,21209,45698,498914,409521,440367,67694,93300,198829,317,1009,4373,194051,217282,361,215128,53175,25793,63808,89601,81791,352330,162114,108425,78830,8851,118279,0.9614168996488806,71.61502458595831
280,Maharashtra,Dhule,21.274018690400517,74.58719071837263,2050862,1054031,996831,1293916,723388,570528,127571,65068,62503,647315,327034,320281,936370,570448,365922,825875,110495,1114492,239139,429536,20646,247049,1825460,187901,3653,1422,13405,12818,912,5291,126138,315332,6065,27139,382777,146013,528790,200494,182739,114931,1167569,513908,350747,107616,10912,51566,74859,17041,175173,12022,174524,210557,18343,12099,387619,324594,344482,54960,22861,29738,2426,753,6881,126552,246027,1171,343030,6159,13980,34096,48076,41877,217726,90252,85597,112622,30276,36121,0.9457321463979712,63.09132452597981
281,Maharashtra,Gondiya,21.225008411214997,80.17522698598128,1322507,661554,660953,1004243,542837,461406,175961,87434,88527,214253,105944,108309,665419,383151,282268,433962,231457,657088,186509,281414,32525,164971,1153861,26157,1827,2160,125282,1568,5080,6572,38044,239981,2866,13595,319702,66813,386515,138457,159570,57923,704214,371908,244111,200918,5074,31287,49085,9117,105702,5357,104997,123673,8854,14238,271917,174150,266154,17945,76525,129626,48,79,798,133210,94573,151,50702,17597,11264,26599,37863,36760,178543,76317,65466,64380,8645,61648,0.9990915329663187,75.93479656440381
282,Maharashtra,Hingoli,19.59525302245251,77.09239412780653,1177345,606294,571051,790743,450551,340192,182565,93379,89186,111954,57674,54280,569182,330903,238279,514371,54811,608163,241613,226483,8268,92818,863199,127552,992,643,176679,5278,103,2899,27700,159114,1221,9676,242456,41913,284369,175736,74544,38698,692117,281905,201828,48246,3833,29798,29815,5768,124247,2130,73640,134812,4797,12784,206387,180484,209663,13034,43819,93262,115,645,5118,86000,83549,734,81482,33349,5715,18442,24157,22066,120315,48484,49765,66399,16170,57492,0.9418714353102621,67.16323592489883
283,Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,4229917,2197365,2032552,2891882,1629223,1262659,389273,199427,189846,604367,310150,294217,1863571,1186472,677099,1643955,219616,2366346,384359,937174,38930,503108,3457615,560261,7091,3091,143865,27404,9662,20928,350029,720791,14297,56775,796223,373565,1169788,482462,375643,229987,2352671,1080237,763529,229955,19560,92379,170551,50297,350725,26385,431221,459652,58630,38533,810168,764674,724904,125375,32746,42052,878,1439,18436,239159,573516,2193,790910,14410,38031,86964,124995,110671,512687,216606,185410,207987,45988,78982,0.9249951646631306,68.36734621506758
284,Maharashtra,Jalna,19.984612534818933,75.98473607242339,1959046,1011473,947573,1195523,699428,496095,272266,138957,133309,42263,21988,20275,930886,545030,385856,844492,86394,1028160,418952,300937,16705,194292,1504641,274221,12542,1629,152540,9619,336,3518,60219,288895,3791,17236,404746,98084,502830,271061,120715,64060,1150104,454836,341479,84022,8400,43810,75655,28619,194534,6111,158182,255420,32267,24008,278273,301447,348751,29927,98790,108318,558,1471,11456,138493,149695,1633,160526,35098,12310,35091,47401,40200,205666,82627,82839,109422,25627,99928,0.9368248089667248,61.02577479038267
285,Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,3876001,1980658,1895343,2825845,1559760,1266085,504461,253390,251071,30206,15478,14728,1704054,1125204,578850,1508563,195491,2171947,660872,266028,59932,717222,3379906,286558,15573,1570,29766,154882,1274,6472,340318,770005,22269,71879,796496,382818,1179314,321457,395234,335413,1972486,1084858,801590,383946,49081,257521,283565,62018,444091,45061,507573,595768,89659,14348,800038,771669,699588,106291,33730,64763,3686,2727,15013,160556,611991,2714,701593,44231,31720,74454,106174,117330,502014,228697,155987,166043,47252,48936,0.9569259306755634,72.90619894060914
286,Maharashtra,Latur,18.348687268993856,76.75812607802874,2454196,1273140,1181056,1650672,932432,718240,480913,247918,232995,57488,29872,27616,1046857,670018,376839,964177,82680,1407339,331780,416578,17663,280836,2006984,367664,2387,935,66535,6387,310,2994,96018,381722,6217,29758,428616,157016,585632,268627,224998,153256,1406364,584243,453229,108626,13150,33408,81052,21703,257877,10060,190739,302745,23165,23432,406711,380772,421140,44074,47969,132136,368,647,11739,157775,231657,3949,276749,78205,11663,37583,49246,47525,257585,103991,106069,134259,33059,84717,0.9276717407355043,67.25917571375717
287,Maharashtra,Nagpur,21.196556862745105,79.02166176470584,4653570,2384975,2268595,3673808,1959220,1714588,867713,439205,428508,437571,223566,214005,1868560,1334211,534349,1654778,213782,2785010,206606,423587,52419,1185948,3492202,390974,34667,20469,668050,24528,12181,10499,599780,917626,57964,135750,430844,877522,1308366,325084,542228,493236,2460820,1361821,818467,577214,71592,268402,426007,110280,518071,106415,728714,719955,91604,46097,967598,914291,770480,187414,76380,108836,539,284,8997,206020,710516,2969,760675,27620,36059,91544,127603,149225,647880,286874,211781,182251,38074,79272,0.9512028427970943,78.94601349071789
288,Maharashtra,Nanded,19.209316983017,77.6829048951049,3361292,1730075,1631217,2189425,1255222,934203,640483,328797,311686,281695,143892,137803,1493953,925232,568721,1317791,176162,1867339,447823,632395,29158,384577,2501741,471951,3902,13540,354189,5049,1273,9647,116284,488748,7548,43055,591119,230563,821682,416869,255650,156225,2008314,809135,535827,109371,12341,88374,83106,18983,344527,12589,216364,384823,21313,44689,556481,505657,579750,61234,92893,223195,707,1558,20357,238501,249852,3809,308749,116462,15073,55602,70675,73125,365093,145062,146906,179714,40821,167950,0.9428591246044247,65.13641183211693
289,Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,1648295,833170,815125,906509,512099,394410,47985,24273,23712,1141933,568026,573907,792065,442898,349167,664193,127872,856230,211672,438176,14599,127618,1521618,96182,8467,685,4969,6191,2907,7276,54335,186202,2579,17047,333440,71572,405012,166664,113019,58461,1011352,390419,241534,40529,6135,23172,39350,6958,85451,4587,83144,101758,9349,12229,307273,209973,292483,21845,16755,95048,13979,6832,23384,150740,117970,290,181543,12702,9605,32683,42288,35991,163042,64261,62790,93252,21041,50913,0.9783417549839769,54.99676938897466
290,Maharashtra,Nashik,20.266912871287143,74.03824168316828,6107187,3157186,2950001,4345366,2397538,1947828,554687,282213,272474,1564369,792547,771822,2763328,1746286,1017042,2523023,240305,3343859,967385,730228,56132,1009583,5237009,693052,23946,8912,94783,38212,1795,9478,536781,904710,45039,138887,904661,764271,1668932,544346,485052,373100,3580633,1567252,948469,400486,79590,185442,396040,56688,668207,89201,630639,798663,73768,50036,1107241,1000293,934281,196514,278657,105024,7727,5860,25996,339616,689923,4622,745698,38456,35768,96688,132456,140025,662495,279902,242568,298134,87208,150754,0.9343766886081466,71.15167752354725
291,Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,1657576,861535,796041,1137810,644304,493506,265184,136354,128830,36039,18569,17470,773916,473795,300121,701894,72022,883660,297361,299525,19831,157199,1437623,178925,942,340,28216,4530,195,6805,49180,240042,3209,18183,367158,77832,444990,183972,139479,96847,917343,393539,343021,93061,7974,37076,51577,13991,171426,4182,117741,200323,14906,19674,266231,271812,316237,22964,29560,105563,221,929,13390,133374,148545,6954,197371,52455,14578,36802,51380,38462,190464,78207,73795,87928,18988,66841,0.9239798731334189,68.64300641418554
292,Maharashtra,Parbhani,19.31032425249168,76.70163338870431,1836086,942870,893216,1157814,666291,491523,247308,125883,121425,40514,20570,19944,822797,501422,321375,756417,66380,1013289,295030,317806,13210,196751,1328385,306364,2081,1371,187899,6238,262,3486,59272,272486,3982,21196,293480,133759,427239,229217,116041,81333,1078349,436486,313455,82350,6973,49166,50197,11554,199804,6057,135933,224888,13530,25942,275622,270114,325984,25840,45702,152059,220,2418,10191,122327,157423,1570,148444,38790,9159,32003,41162,37244,189010,74180,77586,106170,23844,80436,0.9473373847932377,63.058810970727954
293,Maharashtra,Pune,18.51696171428573,74.12922881632647,9429408,4924105,4505303,7171723,3940210,3231513,1180703,602755,577948,348876,179132,169744,4048993,2809816,1239177,3751221,297772,5380415,886530,414461,105711,2642291,8090254,673704,134192,27090,340404,127786,9873,26105,1410448,1925019,235018,490260,1165718,2056739,3222457,559840,867256,1086650,5184734,2624165,1586132,735590,273326,675621,1013058,130854,1451086,382527,1555272,1792197,210257,53670,1962040,1915302,1382496,612584,168164,179132,5200,6905,38007,367187,1575922,7919,1674141,102403,96584,236257,332841,352685,1286031,568235,365111,364149,93586,133498,0.9149486048733729,76.05698045943076
294,Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,1615069,761121,853948,1199392,619012,580380,66948,31967,34981,20374,10402,9972,714076,407008,307068,554973,159103,900993,296913,153117,17230,246816,1307211,187197,1990,230,113467,3347,95,1532,100860,367352,7752,31062,538538,100824,639362,163025,111600,65700,777431,438905,396967,49177,15191,40484,61559,74069,137452,13304,163470,258015,46494,14800,382573,348019,346267,37274,76316,20957,12540,4400,20802,144837,184194,2223,237852,16054,37275,60252,97527,61760,212475,84254,66461,68615,14762,64348,1.1219608971503874,74.26258568519364
295,Maharashtra,Sangli,17.154930181086502,74.70713822937628,2822143,1435728,1386415,2049467,1121550,927917,353093,177108,175985,18333,9406,8927,1215104,800214,414890,1074948,140156,1607039,480554,290693,40824,403033,2440312,239607,9098,1260,38210,87453,769,5434,227034,485126,13212,49056,626872,226801,853673,208511,244804,214003,1450907,752303,603739,335852,29515,167105,190760,43027,319625,26191,310230,415009,52357,25685,556209,517310,498771,67342,74738,98215,606,2577,11780,140103,379231,2240,393990,58025,26079,56682,82761,76036,331678,143725,111917,131446,39342,65893,0.9656529649070019,72.62094798172878
296,Maharashtra,Satara,17.6737908974359,74.18052064102558,3003741,1510842,1492899,2225694,1201034,1024660,323236,161703,161533,29635,15210,14425,1354947,844805,510142,1184407,170540,1648794,585876,297241,39772,432058,2691952,146970,4408,1182,141315,12810,676,4428,271186,562653,14093,57423,774522,200949,975471,288427,299993,243457,1517324,800492,671702,246949,36046,132762,195582,34682,378300,31351,374085,463058,50076,30714,602990,575804,550485,67211,57989,89747,8291,1780,15267,166005,419171,1207,470030,43779,34375,67378,101753,83191,359607,157231,119185,137863,40776,54823,0.9881238408781329,74.09740054152472
297,Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,849651,417332,432319,666067,348289,317778,55586,26830,28756,6976,3575,3401,347178,229676,117502,226538,120640,502473,124812,81816,9679,130871,780384,26264,15471,219,24762,1046,53,1452,42540,194228,3517,15721,295847,44989,340836,86480,89023,48418,382024,242296,222963,39669,9264,16413,37159,18320,93385,6101,98475,131855,20150,9120,198711,181343,181960,17110,97574,7546,4621,677,7209,61473,111982,1206,62947,5910,19204,29971,49175,32456,114147,46485,35206,34018,7779,31664,1.0359114565861234,78.39301077736623
298,Maharashtra,Solapur,17.837357937584812,75.42394823609216,4317756,2227852,2089904,2910676,1651266,1259410,649745,331960,317785,77592,39785,37807,1898395,1206933,691462,1763175,135220,2419361,637250,558334,71106,631705,3795424,441254,9882,1279,35497,28134,568,5718,248255,595560,15145,59296,779929,376302,1156231,390337,328020,236302,2402794,1089900,809935,419488,28219,163776,229240,35124,501095,27734,376000,576726,40507,50495,707954,698690,723697,97376,140885,193008,879,7892,24596,305670,427955,5263,489698,69961,34195,77570,111765,92587,469237,198967,177683,215367,62612,125356,0.938080267450441,67.41177593175715
299,Maharashtra,Thane,19.698767747440264,72.79882742564581,11060148,5865078,5195070,8227161,4591396,3635765,730089,377885,352204,1542451,769192,773259,4492767,3363123,1129644,3930511,562256,6567381,349931,418004,124461,3600371,8716055,1355630,280700,39149,449617,172052,9862,37083,1610460,2231800,256170,551643,713994,2904157,3618151,712171,1080597,961719,6184519,3241888,1579921,403936,172210,566768,499186,196291,1484589,255987,1741244,2011713,330833,51874,2375413,2207808,1758319,632143,168043,215983,5420,8846,37497,489893,1748215,9424,1964564,90875,96076,254251,350327,435279,1535929,657707,442943,451745,92615,192508,0.8857631560910187,74.38563209099914
300,Maharashtra,Wardha,20.80743024390242,78.57259105691062,1300774,668385,632389,1019458,552617,466841,188830,96569,92261,149507,76698,72809,608235,392316,215919,529623,78612,692539,132989,282170,13785,179291,1057096,53854,2696,2147,175417,5663,2254,1647,114029,266155,4313,16260,268486,120218,388704,140470,158055,93772,659540,370227,270107,129060,6970,38959,70849,14587,135009,8251,170620,166398,16802,23351,289664,260962,263170,28598,43788,54733,145,244,1766,94090,172982,219,192075,15618,13479,33834,47313,45226,201617,91911,64480,47580,6170,35608,0.9461448117477202,78.37318396585418
301,Maharashtra,Washim,20.282282394366213,77.25502394366208,1197160,620302,576858,869917,487703,382214,229462,117867,111595,80471,41403,39068,569792,340353,229439,502755,67037,627368,165598,310195,7122,86877,859949,142672,1707,518,179330,8476,381,4127,36840,196022,1875,10757,274925,55921,330846,166509,116032,47865,682919,302425,210185,66675,3623,21548,37729,7506,111191,2868,97022,125662,6965,15533,241170,210412,240347,10854,87105,51591,151,255,3392,82181,92664,430,106117,15457,8898,27564,36462,31483,151658,63577,56598,59947,9825,83047,0.9299631469832437,72.66505730228207
302,Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,2772348,1419965,1352383,2022574,1115980,906594,328518,167009,161509,514057,260896,253161,1355999,815475,540524,1195100,160899,1416349,333504,739718,17899,264878,2251401,239236,4567,1596,249874,11422,3745,10507,134500,446516,6094,29917,629243,168889,798132,391944,245819,123074,1549263,733258,483813,168661,12132,59201,99346,16735,242458,11514,245261,279184,19991,46620,599805,508756,575266,39344,159344,161450,443,2278,11252,236872,228633,2001,281437,35746,27030,78034,105064,92410,403805,174490,136905,117638,13878,174880,0.9524058691587469,72.9552711275785
303,Manipur,Bishnupur,24.50712111801243,93.8246236024845,237399,118782,118617,156333,87313,69020,22113,11085,11028,3287,1625,1662,109937,62807,47130,76423,33514,127462,34358,15109,11567,48903,175102,18691,4264,56,76,16,38457,737,11393,34364,676,3447,34977,21172,56149,15941,20077,20074,135220,62907,38815,25026,2009,26950,5782,1739,25635,848,23140,28217,843,2355,42408,16508,43516,784,245,711,499,2332,23902,22505,3454,21014,19612,29,507,2685,3192,5735,24938,9335,9868,14808,1953,18932,0.9986109006415114,65.85242566312411
304,Manipur,Chandel,24.2635812987013,94.09443844155844,144182,74579,69603,90302,51053,39249,540,321,219,128280,63622,64658,76238,42615,33623,53753,22485,67944,43255,8315,3040,21628,10810,3086,129049,136,400,59,354,288,1424,18764,184,1782,30377,3783,34160,17382,12213,8105,86255,39324,18329,7705,908,12475,3263,670,11205,336,8319,12428,553,1559,25414,11611,27448,1411,2150,2456,5352,8700,17173,11907,2681,2816,5580,185,584,3362,3946,4975,15386,5409,5002,8534,1231,14509,0.9332788050255434,62.630564148090606
305,Manipur,Churachandpur,24.30309718875504,93.38671506024085,274143,138820,135323,195935,104013,91922,443,244,199,254787,126328,128459,122655,70594,52061,89779,32876,151488,64834,8282,5067,44472,12034,2886,254979,152,495,87,2333,1177,13371,29894,837,4496,52972,4853,57825,32860,23284,14523,168608,67802,37096,12613,1807,16193,6387,816,22068,1484,17498,24266,1382,1150,47354,28742,42769,6655,5334,2664,5812,7192,17312,26551,8001,3305,16414,490,758,4460,5218,6270,22736,8059,8407,17268,4694,15364,0.9748091053162369,71.4718230996232
306,Manipur,Senapati,25.08465586034914,94.03366234413956,479148,247323,231825,264477,148012,116465,1000,536,464,419210,214519,204691,233622,124143,109479,185725,47897,245526,175127,30369,4978,42307,43833,1649,426819,140,2409,53,1243,3002,2430,22798,256,2170,38008,1826,39834,46757,40438,24940,314439,111516,52008,6761,827,15752,1603,601,12483,264,9623,13568,484,1006,30317,16321,33051,1017,2708,1528,4389,3547,10937,19706,5714,2294,18477,221,289,2546,2835,4632,16797,5986,6179,13208,1647,9067,0.9373370046457467,55.19735029677678
307,Manipur,Tamenglong,24.98312942238265,93.49450740072204,140651,72371,68280,85006,47403,37603,22,17,5,134626,68226,66400,70675,37237,33438,55979,14696,69976,48849,1924,1710,18192,2995,589,134760,59,425,57,1144,622,1229,11541,125,1362,23982,4119,28101,11155,11645,7102,90273,33290,16924,826,495,7564,723,174,5388,152,5233,6037,475,2117,21266,10189,23804,352,1827,61,5685,2385,12712,10951,3786,3953,9250,45,264,1483,1747,3054,11219,3971,4194,9422,2089,9740,0.9434718326401459,60.43753688206981
308,Manipur,Thoubal,24.545392553191498,93.97959893617023,422168,210845,211323,269304,152617,116687,40593,20137,20456,1808,929,879,195319,109377,85942,133428,61891,226849,77331,33106,21017,63865,267146,107323,4322,106,114,24,42347,786,15994,49507,880,5110,65961,38302,104263,32396,37899,28550,251975,107196,62060,57139,3141,51320,11574,2683,44149,1189,34893,48254,1422,4591,78020,29742,83390,873,1242,9829,450,24067,60307,45333,3978,34181,13391,315,1181,5299,6480,11800,49873,19014,19059,25862,3080,35984,1.0022670682254737,63.79071838699285
309,Manipur,Ukhrul,25.05900314960629,94.44129566929138,183998,94718,89280,129829,70148,59681,248,160,88,173606,87970,85636,87929,46533,41396,67724,20205,96069,56815,3852,2233,25029,7553,1115,174112,108,635,70,32,373,1659,14026,276,2437,36084,5806,41890,20670,22729,15636,113715,43646,25165,1275,1107,13981,944,413,11239,260,7360,12142,490,1807,26712,28568,32455,2313,1525,550,3970,557,15282,20286,3749,10669,18080,112,1272,3745,5017,4814,15806,5535,5457,12397,2570,11755,0.9425874701746236,70.56000608702269
310,Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,317917,161223,156694,192147,102513,89634,509,304,205,305180,153861,151319,126073,72262,53811,83936,42137,191844,77390,19246,2475,26962,17272,3359,289708,56,1004,38,5617,863,1839,24550,288,2368,62698,11518,74216,51578,9473,2484,216742,70424,29926,22238,1167,14539,4732,1037,13572,547,15115,15314,705,1875,30371,7915,54960,2057,22324,491,21097,876,22664,28215,15707,262,10343,329,958,3992,4950,7301,26346,9488,9557,20576,5485,13435,0.9719084745972969,60.439359958731366
311,Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,825922,410749,415173,578030,287270,290760,5642,2924,2718,661158,320048,341110,326786,204303,122483,289576,37210,499136,76767,40889,2966,206164,144935,14185,543394,2495,3111,303,115597,1902,41496,135941,5032,19306,106248,108843,215091,118135,58836,61639,545961,192428,86576,5188,15048,46211,7975,2304,85408,9037,79933,93619,5907,9439,157217,109102,93999,59647,9885,4075,14284,2733,25929,65687,56403,5706,112619,2251,8824,14620,23444,22449,76900,28384,26067,46821,13667,38742,1.010770567913738,69.98602773627533
312,Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,395124,196285,198839,187527,87371,100156,1317,784,533,376099,185866,190233,154180,88839,65341,110617,43563,240944,50844,35766,2004,65566,12456,1646,271596,34,284,45,107559,1504,7150,41677,510,4333,76546,7171,83717,67749,13544,8039,291097,72934,30362,1826,4790,10181,978,652,29307,888,17352,30613,654,5113,61783,45836,57268,6500,9355,2433,12601,1416,20987,29889,8371,3926,16522,2259,2159,3611,5770,6187,23935,8404,9344,24677,10460,26582,1.013011692182286,47.46029094663954
313,Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,142334,73170,69164,82062,45003,37059,319,188,131,134237,68140,66097,53069,32826,20243,38397,14672,89265,28145,5565,1249,18110,7036,1050,132984,27,332,10,362,533,482,10940,179,1625,35930,3713,39643,25906,3998,826,97082,30605,14495,2581,695,7211,1700,363,5402,199,6721,6235,470,932,12562,2347,22964,873,2859,94,11062,2404,14339,11075,2719,582,6492,73,674,1545,2219,2579,9858,3498,3781,8929,3202,10414,0.9452507858411917,57.654530892126964
314,Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,643291,324159,319132,358702,193438,165264,8810,4535,4275,474009,236772,237237,255693,151914,103779,188371,67322,387598,120740,39725,7643,87585,122936,106788,389956,209,3392,144,16950,2916,10006,51301,1630,8872,139351,18594,157945,85733,29404,10856,427629,143604,70599,32839,3589,28675,10923,2760,39386,2270,35051,45766,3620,6836,63888,21585,113504,6163,36282,19736,21251,3088,40203,45043,34389,11041,20818,7388,3339,9362,12701,16475,58500,21168,20857,41203,9376,42348,0.9844921782211816,55.76045677617129
315,Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,383461,193715,189746,230678,117307,113371,168,93,75,375097,189134,185963,163345,89694,73651,119803,43542,220116,84956,37184,2475,38730,6498,1533,366881,58,1313,38,5878,1262,476,32873,149,2462,74832,12299,87131,80318,12295,6450,278569,69988,33431,3325,1683,13553,922,350,18167,210,12548,19192,675,5504,57141,15981,59459,3555,12147,1474,13657,1847,22700,31934,5615,6310,22687,1175,1765,3905,5670,6781,24288,8599,8908,23307,10355,26071,0.9795111374958057,60.15683472373984
316,Mizoram,Aizawl,23.90781335453101,92.85359459459472,400309,199270,201039,340595,169547,171048,627,388,239,373542,182517,191025,174636,104643,69993,151410,23226,225673,39266,11434,3360,120576,13249,5264,379134,105,1570,76,505,406,64710,79804,4019,21093,20570,80341,100911,29332,37701,31310,235892,108094,56092,4713,9581,37753,16909,1771,63205,11817,59257,73438,8462,748,81144,73761,40704,38953,1798,977,10321,1062,21741,29769,40948,1171,55588,351,4018,7194,11212,10677,43041,15555,16809,22808,4851,11195,1.008877402519195,85.08302336445097
317,Mizoram,Champhai,23.54166580976866,93.24221799485862,125745,63388,62357,100802,51440,49362,17,16,1,123466,61954,61512,60342,34129,26213,53111,7231,65403,38336,5823,980,15203,1075,699,123446,9,151,45,194,126,9115,23948,186,2263,18395,12717,31112,14491,4956,4087,78778,29690,17189,911,1237,4342,3135,310,17391,911,13445,19039,1338,899,25349,21158,19196,6021,839,1197,3193,343,5223,15724,3082,220,17370,648,1463,2145,3608,3241,12517,4424,4852,7908,1627,6854,0.9837350918154856,80.16382361127678
318,Mizoram,Kolasib,24.2020004347826,92.73470391304348,83955,42918,41037,65895,34147,31748,84,59,25,73609,36917,36692,36672,22733,13939,29697,6975,47283,17992,5921,585,12174,4000,4426,75210,16,108,2,46,147,8787,14853,367,1986,9669,12507,22176,11367,3473,2530,52147,20576,11167,1119,867,3227,2488,238,11315,908,8392,12841,1288,403,16886,11294,11439,5233,720,450,1850,1581,4444,9312,4736,755,11477,421,953,1521,2474,2397,8927,3156,3374,4932,963,3248,0.9561722354256955,78.48847596926926
319,Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,117894,60599,57295,62861,36444,26417,146,105,41,112354,57044,55310,45566,28517,17049,38082,7484,72328,29189,3153,613,12611,1668,522,63892,52,51549,122,2,87,5213,9283,162,1329,21993,5273,27266,19890,3763,2515,80723,25303,11831,487,631,5083,658,427,6598,392,6657,7895,870,1050,22512,8506,19088,3249,722,223,5809,7462,14043,10924,1720,559,7684,131,701,1777,2478,3075,11321,4043,4203,7639,1456,10250,0.945477648146009,53.31993146385736
